epoch,step,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,3,,0.6395833492279053,0.27004218101501465,1.4379422664642334,0.16243654489517212,0.800000011920929
1,7,,0.6520833373069763,0.27074235677719116,1.3812261819839478,0.16402116417884827,0.7749999761581421
2,11,,0.7083333134651184,0.25531914830207825,1.333558440208435,0.1621621549129486,0.6000000238418579
3,15,,0.7333333492279053,0.27272728085517883,1.292009949684143,0.1764705926179886,0.6000000238418579
4,19,,0.7541666626930237,0.28915661573410034,1.264427900314331,0.190476194024086,0.6000000238418579
5,23,,0.7770833373069763,0.3096774220466614,1.2514384984970093,0.208695650100708,0.6000000238418579
6,27,,0.7875000238418579,0.3199999928474426,1.2315163612365723,0.2181818187236786,0.6000000238418579
7,31,,0.7979166507720947,0.33103448152542114,1.2025949954986572,0.22857142984867096,0.6000000238418579
8,35,,0.8083333373069763,0.35211268067359924,1.1746875047683716,0.2450980395078659,0.625
9,39,,0.8187500238418579,0.38297873735427856,1.1351064443588257,0.2673267424106598,0.675000011920929
10,43,,0.831250011920929,0.4000000059604645,1.0786395072937012,0.28421053290367126,0.675000011920929
11,47,,0.8354166746139526,0.4148148000240326,1.0149292945861816,0.2947368323802948,0.699999988079071
12,49,0.7925763130187988,,,,,
12,51,,0.84375,0.43609023094177246,0.9363893270492554,0.31182795763015747,0.7250000238418579
13,55,,0.862500011920929,0.5147058963775635,0.8524566888809204,0.3645833432674408,0.875
14,59,,0.8666666746139526,0.5223880410194397,0.7731777429580688,0.3723404109477997,0.875
15,63,,0.8604166507720947,0.510948896408081,0.7162944674491882,0.36082473397254944,0.875
16,67,,0.8729166388511658,0.5481481552124023,0.6776655316352844,0.38947367668151855,0.925000011920929
17,71,,0.8812500238418579,0.5648854970932007,0.6507662534713745,0.4065934121608734,0.925000011920929
18,75,,0.887499988079071,0.578125,0.6119168400764465,0.4204545319080353,0.925000011920929
19,79,,0.893750011920929,0.604651153087616,0.5739064812660217,0.43820226192474365,0.9750000238418579
20,83,,0.8916666507720947,0.6000000238418579,0.5548771023750305,0.4333333373069763,0.9750000238418579
21,87,,0.9020833373069763,0.6178861856460571,0.5505338311195374,0.45783132314682007,0.949999988079071
22,91,,0.918749988079071,0.6608695387840271,0.5402469038963318,0.5066666603088379,0.949999988079071
23,95,,0.9083333611488342,0.6393442749977112,0.5135490894317627,0.47560974955558777,0.9750000238418579
24,99,0.3453001379966736,,,,,
24,99,,0.8854166865348816,0.5864661931991577,0.5036027431488037,0.4193548262119293,0.9750000238418579
25,103,,0.9229166507720947,0.678260862827301,0.49951234459877014,0.5199999809265137,0.9750000238418579
26,107,,0.9354166388511658,0.6990291476249695,0.5296162962913513,0.5714285969734192,0.8999999761581421
27,111,,0.8958333134651184,0.609375,0.4823092818260193,0.4431818127632141,0.9750000238418579
28,115,,0.9333333373069763,0.692307710647583,0.5134793519973755,0.5625,0.8999999761581421
