epoch,step,train_loss,val_loss
0,49,0.3742961287498474,
0,99,0.23685750365257263,
0,149,0.21469712257385254,
0,199,0.1960422843694687,
0,249,0.1700771152973175,
0,299,0.1903824806213379,
0,349,0.11294475197792053,
0,376,,0.1384313702583313
1,399,0.10418511927127838,
1,449,0.13913506269454956,
1,499,0.1073172390460968,
1,549,0.10440380126237869,
1,599,0.10812465846538544,
1,649,0.09768061339855194,
1,699,0.09574295580387115,
1,749,0.13213272392749786,
1,753,,0.12519200146198273
2,799,0.1421324610710144,
2,849,0.13438671827316284,
2,899,0.12335875630378723,
2,949,0.10119449347257614,
2,999,0.10713432729244232,
2,1049,0.06690343469381332,
2,1099,0.09379463642835617,
2,1130,,0.09975270926952362
3,1149,0.11491745710372925,
3,1199,0.06122063845396042,
3,1249,0.13512635231018066,
3,1299,0.10312174260616302,
3,1349,0.09509789943695068,
3,1399,0.11240443587303162,
3,1449,0.13059768080711365,
3,1499,0.058001816272735596,
3,1507,,0.09175266325473785
4,1549,0.08206016570329666,
4,1599,0.0742528885602951,
4,1649,0.10595960915088654,
4,1699,0.11306893825531006,
4,1749,0.06335081160068512,
4,1799,0.043927151709795,
4,1849,0.10391461849212646,
4,1884,,0.08947901427745819
5,1899,0.06483419239521027,
5,1949,0.11637410521507263,
5,1999,0.07848623394966125,
5,2049,0.0864064022898674,
5,2099,0.05333609879016876,
5,2149,0.056452833116054535,
5,2199,0.11495734751224518,
5,2249,0.0663585364818573,
5,2261,,0.09053130447864532
6,2299,0.07817064225673676,
6,2349,0.07535836100578308,
6,2399,0.07867066562175751,
6,2449,0.0770036056637764,
6,2499,0.12409094721078873,
6,2549,0.1311986893415451,
6,2599,0.1577278971672058,
6,2638,,0.08273724466562271
7,2649,0.09752961993217468,
7,2699,0.048323340713977814,
7,2749,0.10444852709770203,
7,2799,0.08473867177963257,
7,2849,0.06814256310462952,
7,2899,0.12318316102027893,
7,2949,0.0898280143737793,
7,2999,0.09258890151977539,
7,3015,,0.08284451812505722
8,3049,0.09182260930538177,
8,3099,0.15817813575267792,
8,3149,0.07113584876060486,
8,3199,0.06636182963848114,
8,3249,0.06115945801138878,
8,3299,0.055572282522916794,
8,3349,0.05643796920776367,
8,3392,,0.08451594412326813
9,3399,0.0552782267332077,
9,3449,0.06426086276769638,
9,3499,0.05433451756834984,
9,3549,0.101814404129982,
9,3599,0.06694003939628601,
9,3649,0.07417730987071991,
9,3699,0.06286436319351196,
9,3749,0.05230539292097092,
9,3769,,0.08162667602300644
