epoch,step,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,3,,0.6895833611488342,0.3004694879055023,1.196466326713562,0.18497109413146973,0.800000011920929
1,7,,0.78125,0.3786982297897339,1.114912509918213,0.24806201457977295,0.800000011920929
2,11,,0.8208333253860474,0.44871795177459717,1.03325617313385,0.3017241358757019,0.875
3,15,,0.8458333611488342,0.4861111044883728,0.9825754165649414,0.3365384638309479,0.875
4,19,,0.8729166388511658,0.5271317958831787,0.9561196565628052,0.3820224702358246,0.8500000238418579
5,23,,0.8604166507720947,0.510948896408081,0.9467453360557556,0.36082473397254944,0.875
6,27,,0.9229166507720947,0.6666666865348816,0.8842388391494751,0.5211267471313477,0.925000011920929
7,31,,0.8687499761581421,0.540145993232727,0.8943620324134827,0.3814432919025421,0.925000011920929
8,35,,0.9416666626930237,0.7200000286102295,0.8789352774620056,0.6000000238418579,0.8999999761581421
9,39,,0.9166666865348816,0.6491228342056274,0.8745308518409729,0.5,0.925000011920929
10,43,,0.9479166865348816,0.7422680258750916,0.866339385509491,0.6315789222717285,0.8999999761581421
11,47,,0.9437500238418579,0.7272727489471436,0.8596926927566528,0.6101694703102112,0.8999999761581421
12,49,0.681943416595459,,,,,
12,51,,0.9541666507720947,0.760869562625885,0.8625660538673401,0.6730769276618958,0.875
13,55,,0.956250011920929,0.774193525314331,0.8379129767417908,0.6792452931404114,0.8999999761581421
14,59,,0.9645833373069763,0.8089887499809265,0.8357750177383423,0.7346938848495483,0.8999999761581421
15,63,,0.9666666388511658,0.8181818127632141,0.8483957648277283,0.75,0.8999999761581421
16,67,,0.96875,0.8275862336158752,0.84689861536026,0.7659574747085571,0.8999999761581421
17,71,,0.9708333611488342,0.8372092843055725,0.8392874598503113,0.782608687877655,0.8999999761581421
18,75,,0.9666666388511658,0.8139534592628479,0.8398200273513794,0.760869562625885,0.875
19,79,,0.9666666388511658,0.8139534592628479,0.84892338514328,0.760869562625885,0.875
20,83,,0.9750000238418579,0.8536585569381714,0.850983738899231,0.8333333134651184,0.875
21,87,,0.9624999761581421,0.7954545617103577,0.8432189226150513,0.7291666865348816,0.875
22,91,,0.9750000238418579,0.8536585569381714,0.8699646592140198,0.8333333134651184,0.875
23,95,,0.9645833373069763,0.8045976758003235,0.853647768497467,0.7446808218955994,0.875
24,99,0.6754540801048279,,,,,
24,99,,0.9708333611488342,0.8333333134651184,0.8721686005592346,0.7954545617103577,0.875
25,103,,0.9645833373069763,0.800000011920929,0.8849794268608093,0.7555555701255798,0.8500000238418579
26,107,,0.9604166746139526,0.7865168452262878,0.8761813044548035,0.7142857313156128,0.875
27,111,,0.9708333611488342,0.8292682766914368,0.9087777733802795,0.8095238208770752,0.8500000238418579
28,115,,0.9458333253860474,0.717391312122345,0.9158996343612671,0.6346153616905212,0.824999988079071
29,119,,0.9479166865348816,0.7311828136444092,0.8703620433807373,0.6415094137191772,0.8500000238418579
30,123,,0.9604166746139526,0.7816091775894165,0.8855791091918945,0.7234042286872864,0.8500000238418579
31,127,,0.9604166746139526,0.7816091775894165,0.900360643863678,0.7234042286872864,0.8500000238418579
32,131,,0.956250011920929,0.7640449404716492,0.9060644507408142,0.6938775777816772,0.8500000238418579
33,135,,0.9604166746139526,0.7816091775894165,0.8918102383613586,0.7234042286872864,0.8500000238418579
34,139,,0.9604166746139526,0.7816091775894165,0.8860509991645813,0.7234042286872864,0.8500000238418579
35,143,,0.9624999761581421,0.7857142686843872,0.912467896938324,0.75,0.824999988079071
36,147,,0.9708333611488342,0.824999988079071,0.9218139052391052,0.824999988079071,0.824999988079071
37,149,0.6209443807601929,,,,,
37,151,,0.9645833373069763,0.7951807379722595,0.9081558585166931,0.7674418687820435,0.824999988079071
38,155,,0.9666666388511658,0.800000011920929,0.9185544848442078,0.800000011920929,0.800000011920929
39,159,,0.9645833373069763,0.8045976758003235,0.87712562084198,0.7446808218955994,0.875
40,163,,0.9666666388511658,0.800000011920929,0.8980478644371033,0.800000011920929,0.800000011920929
41,167,,0.96875,0.8051947951316833,0.9493476152420044,0.837837815284729,0.7749999761581421
42,171,,0.9729166626930237,0.8354430198669434,0.9207021594047546,0.8461538553237915,0.824999988079071
43,175,,0.96875,0.8101266026496887,0.9300656914710999,0.8205128312110901,0.800000011920929
44,179,,0.9729166626930237,0.8266666531562805,0.9579890370368958,0.8857142925262451,0.7749999761581421
45,183,,0.9708333611488342,0.8157894611358643,0.9592151641845703,0.8611111044883728,0.7749999761581421
46,187,,0.9708333611488342,0.8157894611358643,0.9507875442504883,0.8611111044883728,0.7749999761581421
47,191,,0.96875,0.8051947951316833,0.9458391666412354,0.837837815284729,0.7749999761581421
48,195,,0.9708333611488342,0.8157894611358643,0.9467254281044006,0.8611111044883728,0.7749999761581421
49,199,0.6547484397888184,,,,,
49,199,,0.9708333611488342,0.8157894611358643,0.9475832581520081,0.8611111044883728,0.7749999761581421
50,203,,0.9708333611488342,0.8157894611358643,0.9416788220405579,0.8611111044883728,0.7749999761581421
51,207,,0.9729166626930237,0.8311688303947449,0.9398506283760071,0.8648648858070374,0.800000011920929
52,211,,0.9729166626930237,0.8311688303947449,0.9461937546730042,0.8648648858070374,0.800000011920929
53,215,,0.9729166626930237,0.8311688303947449,0.9480602145195007,0.8648648858070374,0.800000011920929
54,219,,0.9729166626930237,0.8311688303947449,0.945546567440033,0.8648648858070374,0.800000011920929
55,223,,0.9729166626930237,0.8311688303947449,0.9448809027671814,0.8648648858070374,0.800000011920929
